"","Response","Taxon","Effect.type","Explanatory","Estimate","Statistics","K","P","Signif","R2","AIC","Scale"
"160","Abundance","Hymenoptera","Fixed effects","(Intercept)",-0.892141872968737,-2.15217202183149,19,0.0313838083419896,"*",0.0906423820220893,983.911986513553,2500
"161","Abundance","Hymenoptera","Fixed effects","Area",2.7853114846729,3.36215692325627,19,0.00077336160529434,"***",0.0906423820220893,983.911986513553,2500
"162","Abundance","Hymenoptera","Random effects","Coordinates",NA,83.8081851824509,19,0,"****",0.0906423820220893,983.911986513553,2500
"163","Abundance","Nematocera","Fixed effects","(Intercept)",8.5839037606363,98.5651944337247,19,0,"****",0.451409702750688,12826.1656775196,2500
"164","Abundance","Nematocera","Fixed effects","Area",-10.4146473434831,-55.0217724317186,19,0,"****",0.451409702750688,12826.1656775196,2500
"165","Abundance","Nematocera","Random effects","Coordinates",NA,6737.65551289044,19,0,"****",0.451409702750688,12826.1656775196,2500
"166","Abundance","Trichoptera","Fixed effects","(Intercept)",2.0024938085801,4.4714353747762,19,7.76963397597123e-06,"****",0.196083287034237,807.627212216292,2500
"167","Abundance","Trichoptera","Fixed effects","Area",-3.92669683132762,-4.12984799422441,19,3.6300316057826e-05,"****",0.196083287034237,807.627212216292,2500
"168","Abundance","Trichoptera","Random effects","Coordinates",NA,99.7330603951854,19,0,"****",0.196083287034237,807.627212216292,2500
"169","Abundance","Brachycera","Fixed effects","(Intercept)",0.772336423509281,2.54557298710818,20,0.0109098553860199,"*",-0.00631756788059334,1820.43254179259,3000
"170","Abundance","Brachycera","Fixed effects","Area",1.53323122758855,2.54489300892193,20,0.0109311225431597,"*",-0.00631756788059334,1820.43254179259,3000
"171","Abundance","Brachycera","Random effects","Coordinates",NA,140.873141646934,20,0,"****",-0.00631756788059334,1820.43254179259,3000
"172","Abundance","Coleoptera","Fixed effects","(Intercept)",-1.28367026675447,-3.45557134193951,19,0.000549127850336333,"***",0.0608838471911998,1640.90968161793,3000
"173","Abundance","Coleoptera","Fixed effects","Area",4.77560604686741,6.55464258026227,19,5.57753023463554e-11,"****",0.0608838471911998,1640.90968161793,3000
"174","Abundance","Coleoptera","Random effects","Coordinates",NA,222.934561167216,19,0,"****",0.0608838471911998,1640.90968161793,3000
"175","Abundance","Ephemeroptera","Fixed effects","(Intercept)",-0.496612680907228,-1.17581714829496,19,0.239667952323444,"ns",0.0232921964206523,10747.0804495916,3000
"176","Abundance","Ephemeroptera","Fixed effects","Area",-3.23460585168193,-6.0614425349567,19,1.34906087745355e-09,"****",0.0232921964206523,10747.0804495916,3000
"177","Abundance","Ephemeroptera","Random effects","Coordinates",NA,2045.0519239395,19,0,"****",0.0232921964206523,10747.0804495916,3000
"178","Abundance","Hemiptera","Fixed effects","(Intercept)",-0.555316466461281,-1.84171815625816,20,0.0655163870039793,".",0.665639022099923,1647.68282885185,3000
"179","Abundance","Hemiptera","Fixed effects","Area",3.82165309983424,6.51469825356482,20,7.28359250587482e-11,"****",0.665639022099923,1647.68282885185,3000
"180","Abundance","Hemiptera","Random effects","Coordinates",NA,401.881649060395,20,0,"****",0.665639022099923,1647.68282885185,3000
"181","Abundance","Hymenoptera","Fixed effects","(Intercept)",-1.03402101574597,-2.21076513606522,15,0.0270521052892686,"*",0.087290524968193,985.31372529976,3000
"182","Abundance","Hymenoptera","Fixed effects","Area",3.03945008082765,3.29944706627282,15,0.000968754956603241,"***",0.087290524968193,985.31372529976,3000
"183","Abundance","Hymenoptera","Random effects","Coordinates",NA,86.6344114987511,15,0,"****",0.087290524968193,985.31372529976,3000
"184","Abundance","Nematocera","Fixed effects","(Intercept)",9.26378828851147,85.8479475543694,20,0,"****",0.456903939484171,13148.2348935727,3000
"185","Abundance","Nematocera","Fixed effects","Area",-11.7645826339368,-50.299124828256,20,0,"****",0.456903939484171,13148.2348935727,3000
"186","Abundance","Nematocera","Random effects","Coordinates",NA,6486.03470542852,20,0,"****",0.456903939484171,13148.2348935727,3000
"187","Abundance","Trichoptera","Fixed effects","(Intercept)",2.14246499558494,4.18525766381576,19,2.84842810164419e-05,"****",0.194630084916717,809.834605178372,3000
"188","Abundance","Trichoptera","Fixed effects","Area",-4.14499079238348,-3.87718441256047,19,0.000105672262905973,"***",0.194630084916717,809.834605178372,3000
"189","Abundance","Trichoptera","Random effects","Coordinates",NA,96.2259567183489,19,0,"****",0.194630084916717,809.834605178372,3000
"190","Body size","Ephemeroptera","Fixed effects","(Intercept)",13.9178833939999,42.9025514935564,1,1.949065957563e-39,"****",0.0862519785231785,NA,100
