"","Response","Effect.type","Explanatory","Estimate","Statistics","K","P","Signif","R2","AIC","Scale"
"95","Occurrence-based composition","Fixed effects","Area",0.286801129275733,11.8478039191704,14,2.11357685841901e-24,"****",0.427383997929739,-219.005583969865,100
"96","Occurrence-based composition","Random effects","Coordinates",NA,0.801177237597243,14,0.670511487093847,"ns",0.427383997929739,-219.005583969865,100
"97","Abundance-based composition","Fixed effects","(Intercept)",-0.355563791493892,-10.7758611445886,9,3.69058400360649e-21,"****",0.651091193923516,-63.2123206269542,250
"98","Abundance-based composition","Fixed effects","Area",0.766260059475639,15.4144195911962,9,1.35133347003867e-34,"****",0.651091193923516,-63.2123206269542,250
"99","Abundance-based composition","Random effects","Coordinates",NA,26.8655755502155,9,0.00250169350947405,"**",0.651091193923516,-63.2123206269542,250
"100","Occurrence-based composition","Fixed effects","(Intercept)",-0.109690665121808,-5.0091688503819,14,1.31136938364059e-06,"****",0.378532907633926,-198.651662361827,250
"101","Occurrence-based composition","Fixed effects","Area",0.303933914150604,9.32538910444553,14,4.37354500677276e-17,"****",0.378532907633926,-198.651662361827,250
"102","Occurrence-based composition","Random effects","Coordinates",NA,8.05485188409536,14,0.545498128896868,"ns",0.378532907633926,-198.651662361827,250
"103","Abundance-based composition","Fixed effects","(Intercept)",-0.481762251076481,-9.01091260802044,13,3.66519551428686e-16,"****",0.574381910811903,-21.8320287505191,500
"104","Abundance-based composition","Fixed effects","Area",1.07156002269982,11.4298842809557,13,6.59879798686603e-23,"****",0.574381910811903,-21.8320287505191,500
"105","Abundance-based composition","Random effects","Coordinates",NA,49.4579827515853,13,1.18174091713885e-05,"****",0.574381910811903,-21.8320287505191,500
"106","Occurrence-based composition","Fixed effects","(Intercept)",-0.0822362146440712,-4.14013385870392,6,5.29369101184715e-05,"****",0.307340636242451,-183.291711117647,500
"107","Occurrence-based composition","Fixed effects","Area",0.282560317918448,9.17361139476763,6,9.62039977252851e-17,"****",0.307340636242451,-183.291711117647,500
"108","Occurrence-based composition","Random effects","Coordinates",NA,3.05584331975547,6,0.267662840041793,"ns",0.307340636242451,-183.291711117647,500
"109","Abundance-based composition","Fixed effects","(Intercept)",-0.631770651729171,-9.25120599368521,13,8.24109709245547e-17,"****",0.563448265502347,-16.9300843224451,750
"110","Abundance-based composition","Fixed effects","Area",1.39479447219889,11.0501286169469,13,8.02547166256813e-22,"****",0.563448265502347,-16.9300843224451,750
"111","Abundance-based composition","Random effects","Coordinates",NA,63.3572853975685,13,5.11453747742419e-07,"****",0.563448265502347,-16.9300843224451,750
"112","Occurrence-based composition","Fixed effects","(Intercept)",-0.0832785784056113,-3.99207926059404,6,9.48209400096332e-05,"****",0.285591632963181,-177.075914135415,750
"113","Occurrence-based composition","Fixed effects","Area",0.294507665381737,8.6807131976903,6,2.16481867767795e-15,"****",0.285591632963181,-177.075914135415,750
"114","Occurrence-based composition","Random effects","Coordinates",NA,3.03052665241691,6,0.394838995499729,"ns",0.285591632963181,-177.075914135415,750
"115","Abundance-based composition","Fixed effects","(Intercept)",-0.718339273620271,-8.24868048860927,13,3.88665185866635e-14,"****",0.514369911780898,3.01011521766978,1000
"116","Abundance-based composition","Fixed effects","Area",1.57411568390097,9.59831725752448,13,9.27042981218898e-18,"****",0.514369911780898,3.01011521766978,1000
"117","Abundance-based composition","Random effects","Coordinates",NA,55.9701666787171,13,1.66412970215024e-06,"****",0.514369911780898,3.01011521766978,1000
"118","Occurrence-based composition","Fixed effects","(Intercept)",-0.0803347286378457,-3.69919377703849,6,0.000286074022364988,"***",0.258047287501201,-170.081489342159,1000
"119","Occurrence-based composition","Fixed effects","Area",0.291608947282366,8.11778831429674,6,6.84462592438836e-14,"****",0.258047287501201,-170.081489342159,1000
"120","Occurrence-based composition","Random effects","Coordinates",NA,2.79752315071945,6,0.428255951518123,"ns",0.258047287501201,-170.081489342159,1000
"121","Abundance-based composition","Fixed effects","(Intercept)",-0.241097308663234,-6.21016405945484,1,3.46717692378264e-09,"****",0.357475721120425,45.9902772685298,1500
"122","Abundance-based composition","Fixed effects","Area",0.666266860560004,10.2315106129461,1,1.02127028861545e-19,"****",0.357475721120425,45.9902772685298,1500
"123","Abundance-based composition","Random effects","Coordinates",NA,4.59237441447786,1,0.103534434666057,"ns",0.357475721120425,45.9902772685298,1500
"124","Occurrence-based composition","Fixed effects","(Intercept)",-0.33416726631532,-4.62995871401421,14,7.17478718987121e-06,"****",0.294120978881522,-169.720226994408,1500
"125","Occurrence-based composition","Fixed effects","Area",0.789549872774832,5.68406663257968,14,5.51487915749939e-08,"****",0.294120978881522,-169.720226994408,1500
"126","Occurrence-based composition","Random effects","Coordinates",NA,30.2646005943983,14,0.00696106957710629,"**",0.294120978881522,-169.720226994408,1500
"127","Abundance-based composition","Fixed effects","(Intercept)",-0.249453655938415,-6.14360663224782,1,4.91331272678151e-09,"****",0.34272360830204,50.2351797666887,2000
"128","Abundance-based composition","Fixed effects","Area",0.680982893282461,9.91095080276992,1,8.31438573672794e-19,"****",0.34272360830204,50.2351797666887,2000
"129","Abundance-based composition","Random effects","Coordinates",NA,4.98896337364775,1,0.0853422663667015,".",0.34272360830204,50.2351797666887,2000
"130","Occurrence-based composition","Fixed effects","(Intercept)",-0.0719992775340955,-3.09201969179121,6,0.00229918468084008,"**",0.205314592388073,-157.719889943194,2000
"131","Occurrence-based composition","Fixed effects","Area",0.278647275783995,7.07154817511567,6,3.13424969029007e-11,"****",0.205314592388073,-157.719889943194,2000
"132","Occurrence-based composition","Random effects","Coordinates",NA,1.70594588027214,6,0.427833074631002,"ns",0.205314592388073,-157.719889943194,2000
"133","Abundance-based composition","Fixed effects","(Intercept)",-1.37541583259315,-6.5813404085463,15,5.4766612045712e-10,"****",0.420665541255759,37.8752237616259,2500
"134","Abundance-based composition","Fixed effects","Area",2.84218075790537,7.09413328118872,15,3.29979745160799e-11,"****",0.420665541255759,37.8752237616259,2500
"135","Abundance-based composition","Random effects","Coordinates",NA,52.0262703746784,15,1.98859806637697e-05,"****",0.420665541255759,37.8752237616259,2500
"136","Occurrence-based composition","Fixed effects","(Intercept)",-0.0690732675801804,-2.79608434735925,6,0.00572502031192824,"**",0.175587421417797,-150.852355221382,2500
"137","Occurrence-based composition","Fixed effects","Area",0.270552970630772,6.45018546864913,6,9.68045287338819e-10,"****",0.175587421417797,-150.852355221382,2500
"138","Occurrence-based composition","Random effects","Coordinates",NA,1.53137869542161,6,0.466497000455866,"ns",0.175587421417797,-150.852355221382,2500
"139","Abundance-based composition","Fixed effects","(Intercept)",-1.15760598110855,-5.20912024437386,16,5.43097383036081e-07,"****",0.369663670380058,54.45565053166,3000
"140","Abundance-based composition","Fixed effects","Area",2.39141420107456,5.68654875563631,16,5.53373500137444e-08,"****",0.369663670380058,54.45565053166,3000
"141","Abundance-based composition","Random effects","Coordinates",NA,40.2691309002964,16,0.00111075033537755,"**",0.369663670380058,54.45565053166,3000
"142","Occurrence-based composition","Fixed effects","(Intercept)",-0.0742672648318137,-2.78047848747368,6,0.0059967936955084,"**",0.159792202128222,-146.935815339309,3000
"143","Occurrence-based composition","Fixed effects","Area",0.276899020843024,6.07599746446262,6,7.00675811333892e-09,"****",0.159792202128222,-146.935815339309,3000
"144","Occurrence-based composition","Random effects","Coordinates",NA,1.92870905355431,6,0.569876033348888,"ns",0.159792202128222,-146.935815339309,3000
