"","Trap","X","Y","Area0100","Area0250","Area0500","Area0750","Area1000","Area1500","Area2000","Area2500","Area3000"
"70","AI24A02",-59.51344947,-1.802979253,0.294117647058824,0.331797235023041,0.272933182332956,0.324734446130501,0.357366771159875,0.324731182795699,0.243170176437109,0.224185834661808,0.204352777426294
"71","AI24A03",-59.51358106,-1.803408491,0.0571428571428571,0.234234234234234,0.225769669327252,0.285352255448556,0.330397727272727,0.311819792457606,0.235503379580221,0.21719724916883,0.200006327311842
"72","AI24A04",-59.51389686,-1.804438661,0,0.0452488687782805,0.14139110604333,0.203346855983773,0.264697529111048,0.278966696213752,0.218987972386307,0.201083986154126,0.190126582278481
"73","AI24A05",-59.51468638,-1.807014086,0,0,0,0.0578386605783866,0.119726339794755,0.202659911336289,0.191062406603572,0.166530017308919,0.164494083401886
"74","AI24A07",-59.51863394,-1.819891152,0,0,0,0,0,0,7.11490572749911e-05,0.0308813482122523,0.0586263597267898
"75","AI24A08",-59.52389736,-1.83706043,0,0,0,0,0,0,0,0,0
"76","AI27A01",-59.63180778,-1.829464513,0.34375,0.181395348837209,0.0443181818181818,0.0212121212121212,0.0199316628701595,0.0274544534412955,0.0454739538855679,0.0640459162756799,0.109212857504429
"77","AI27A02",-59.63170943,-1.829314237,0.243243243243243,0.177272727272727,0.0444697833523375,0.0212228398180899,0.0204778156996587,0.026459045448791,0.0442610118835836,0.0630864534936686,0.107742935797234
"78","AI27A03",-59.63146355,-1.828938549,0.0833333333333333,0.177272727272727,0.0442678774120318,0.0238215914850482,0.0216216216216216,0.0241833375538111,0.0412870159453303,0.0605674211029646,0.104896874604581
"79","AI27A04",-59.63087344,-1.828036895,0,0.0678733031674208,0.0443686006825939,0.0283831728332489,0.0250783699059561,0.019632678910703,0.0339477617251441,0.0550747084548105,0.0964057457444789
"80","AI27A05",-59.62939817,-1.82578276,0,0,0.00798175598631699,0.0364556962025316,0.0310541310541311,0.0153048317733367,0.0209163346613546,0.0426637494872146,0.0756166982922201
"81","AI27A06",-59.62693938,-1.822025861,0,0,0,0.0167342799188641,0.0222348916761688,0.0140310959423587,0.0140815020268829,0.0275283715418623,0.0499905141339404
"82","AI27A07",-59.62202179,-1.81451204,0,0,0,0,0,0.00606826801517067,0.00719065926242347,0.0208722599462243,0.0482243936375423
"83","AI27A08",-59.61218662,-1.799484304,0,0,0,0,0,0.0046823588964819,0.0147330960854093,0.0224550216351628,0.0295150422321344
"84","AI28A01",-59.73448,-1.748332,0.540540540540541,0.452488687782805,0.339021615472127,0.295189873417722,0.358704913376882,0.413404282275434,0.46060778592271,0.463314660472742,0.443128937288297
"85","AI28A02",-59.734443,-1.748507,0.428571428571429,0.411764705882353,0.328782707622298,0.287594936708861,0.352220956719818,0.411012658227848,0.460694958701225,0.464708561020036,0.444602587215738
"86","AI28A03",-59.734322,-1.748942,0.142857142857143,0.313636363636364,0.296127562642369,0.268822637695806,0.336088939566705,0.407182599898837,0.461658953364187,0.468816910391326,0.449006706314058
"87","AI28A04",-59.734184,-1.749997,0,0.1,0.228050171037628,0.268724696356275,0.301591813530415,0.395999493606786,0.461746494911394,0.478344036070501,0.460944667657946
"88","AI28A05",-59.733273,-1.752615,0,0.00909090909090909,0.0777142857142857,0.172570850202429,0.271949828962372,0.345633767218501,0.456829667591999,0.49845060153117,0.491333502024291
"89","AI28A06",-59.732246,-1.757016,0,0,0.0478905359179019,0.182463253928028,0.230747290359384,0.324778761061947,0.426446516262188,0.497630331753554,0.513902508461709
"90","AI30A01",-59.835636,-1.468865,0.228571428571429,0.0810810810810811,0.332574031890661,0.350734921439432,0.297466552803871,0.266396556090149,0.346383826879271,0.391381587937867,0.444145654718593
"91","AI30A02",-59.835472,-1.468827,0.15625,0.0740740740740741,0.308040770101925,0.343607882769075,0.293363714041584,0.264724509183027,0.346142897808141,0.391288500091124,0.443614968525607
"92","AI30A03",-59.835011,-1.468754,0,0.0596330275229358,0.245733788395904,0.316321374431531,0.28074179743224,0.259357612544259,0.343369634849455,0.392038985289429,0.442746884291769
"93","AI30A04",-59.833911,-1.468752,0,0.00909090909090909,0.108843537414966,0.237108190091001,0.243867655447804,0.256702073849267,0.340259000996158,0.393156551849827,0.438547662723765
"94","AI30A06",-59.826741,-1.468595,0,0,0,0.0886524822695035,0.179436058103105,0.334430379746835,0.395186556536599,0.438302522538931,0.459361163820367
"95","AI31A01",-59.41539241,-1.832363876,0,0,0.0147895335608646,0.0242792109256449,0.0285062713797035,0.0555414979757085,0.0672502134927413,0.0594907301963285,0.0627313277023821
"96","AI31A02",-59.41539817,-1.832185977,0,0,0.0193181818181818,0.0242424242424242,0.0284738041002278,0.0554500569692366,0.0671599317017644,0.0589896597275999,0.0624387157994623
"97","AI31A03",-59.415437,-1.832216,0,0,0.018161180476731,0.0242424242424242,0.0288159771754636,0.0553659461509291,0.0672125311498754,0.0589494783836727,0.0624742985480657
"98","AI31A04",-59.415308,-1.832922,0,0,0.00340909090909091,0.0243161094224924,0.0270655270655271,0.0563576494427558,0.0671222151042779,0.0609000637697003,0.0636843936853428
"99","AI31A05",-59.415136,-1.836506,0,0,0,0.00404448938321537,0.0196357427433125,0.0417668649538033,0.0581329158958304,0.0575424848512461,0.0699307334661733
"100","AI31A06",-59.415113,-1.840992,0,0,0,0,0.0225135366201197,0.0445513226173902,0.0395785876993166,0.0718221979323223,0.0703280711189851
"101","AI32A01",-59.35445,-1.841171,0.5,0.572727272727273,0.451759364358683,0.35746835443038,0.304125177809388,0.288554064320081,0.329441913439636,0.38452082859094,0.410839713978359
