epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,2085.03,0.64227,0.61257,1.05745,0.60285,0.47604,0.58257,0.40864,1.03872,1.19741,1.48474,0.000213115,0.000213115,0.000213115
163,2097.51,0.62937,0.56768,1.03977,0.47286,0.50105,0.5349,0.37849,1.06696,1.28113,1.48831,0.000210786,0.000210786,0.000210786
164,2110.02,0.60665,0.58617,1.04946,0.46018,0.6071,0.55857,0.40729,1.00076,1.12292,1.41373,0.000208458,0.000208458,0.000208458
165,2123.74,0.61115,0.58245,1.04075,0.48429,0.59486,0.57881,0.4166,1.01748,1.08872,1.44894,0.000206129,0.000206129,0.000206129
166,2136.24,0.62743,0.54485,1.04493,0.487,0.58023,0.61814,0.45487,0.99077,1.04915,1.42686,0.000203801,0.000203801,0.000203801
167,2149.26,0.60699,0.56286,1.04415,0.47294,0.67071,0.60025,0.44944,0.96701,1.10458,1.39054,0.000201472,0.000201472,0.000201472
168,2161.75,0.58292,0.51134,1.00888,0.58701,0.58641,0.60836,0.46251,0.97053,1.05618,1.37923,0.000199144,0.000199144,0.000199144
169,2176.68,0.62312,0.54714,1.04435,0.44098,0.54128,0.54462,0.39938,1.01993,1.15585,1.47142,0.000196815,0.000196815,0.000196815
170,2189.17,0.59299,0.52135,1.03326,0.5268,0.59636,0.61126,0.44801,0.99754,1.02788,1.44131,0.000194487,0.000194487,0.000194487
171,2201.67,0.6206,0.55052,1.04272,0.47102,0.57173,0.54563,0.4045,1.01371,1.13318,1.43023,0.000192158,0.000192158,0.000192158
172,2214.19,0.59406,0.53048,1.0319,0.42817,0.61836,0.57122,0.42433,0.97831,1.14029,1.41071,0.00018983,0.00018983,0.00018983
173,2226.72,0.5865,0.54341,1.01597,0.44671,0.62091,0.57074,0.40592,0.9882,1.14997,1.39902,0.000187501,0.000187501,0.000187501
174,2239.33,0.58429,0.50286,1.01747,0.39529,0.61105,0.5553,0.40012,0.99542,1.16132,1.42158,0.000185173,0.000185173,0.000185173
175,2251.85,0.57715,0.51355,1.02539,0.66954,0.5481,0.58348,0.40075,1.02874,1.07987,1.45277,0.000182844,0.000182844,0.000182844
176,2265.7,0.59652,0.53328,1.02988,0.54321,0.58432,0.56925,0.42105,1.00188,1.01548,1.42263,0.000180516,0.000180516,0.000180516
177,2278.27,0.58397,0.53325,1.01861,0.45547,0.60489,0.56238,0.41385,1.01049,1.09677,1.46051,0.000178188,0.000178188,0.000178188
178,2290.77,0.59842,0.53408,1.02318,0.47502,0.59753,0.58801,0.43385,1.01486,1.05483,1.48097,0.000175859,0.000175859,0.000175859
179,2303.31,0.59943,0.55964,1.03305,0.53946,0.53633,0.58639,0.41815,1.00943,1.04855,1.44547,0.000173531,0.000173531,0.000173531
180,2315.79,0.55794,0.50836,1.00637,0.52735,0.59168,0.59197,0.42659,1.00757,1.09913,1.441,0.000171202,0.000171202,0.000171202
181,2328.22,0.56876,0.51277,1.02643,0.59505,0.50068,0.5578,0.41571,0.98791,1.11258,1.46243,0.000168874,0.000168874,0.000168874
182,2340.72,0.56672,0.53916,1.01394,0.62275,0.51637,0.50794,0.37008,1.00313,1.27804,1.45,0.000166545,0.000166545,0.000166545
